x,y,z,Activity
0.28858451,-0.020294171,-0.13290514,STANDING
0.27841883,-0.016410568,-0.12352019,STANDING
0.27965306,-0.019467156,-0.11346169,STANDING
0.27917394,-0.026200646,-0.12328257,STANDING
0.27662877,-0.016569655,-0.11536185,STANDING
0.27719877,-0.01009785,-0.10513725,STANDING
0.27945388,-0.019640776,-0.11002215,STANDING
0.27743247,-0.030488303,-0.12536043,STANDING
0.27729342,-0.021750698,-0.12075082,STANDING
0.28058569,-0.0099602983,-0.10606516,STANDING
0.27688027,-0.012721805,-0.10343832,STANDING
0.27622817,-0.021441302,-0.10820234,STANDING
0.278457,-0.020414761,-0.11273172,STANDING
0.27717497,-0.014712802,-0.10675647,STANDING
0.29794572,0.027093908,-0.061668123,STANDING
0.27920345,-0.023020143,-0.12208028,STANDING
0.27903836,-0.014800378,-0.11684896,STANDING
0.2801349,-0.013916951,-0.10637048,STANDING
0.27773106,-0.018210718,-0.10918803,STANDING
0.27556818,-0.016979698,-0.11142918,STANDING
0.27756171,-0.014318487,-0.10787724,STANDING
0.27715238,-0.017983328,-0.10660117,STANDING
0.2756763,-0.021264234,-0.11080122,STANDING
0.2792002,-0.017714427,-0.10916135,STANDING
0.28171549,-0.011910678,-0.10287513,STANDING
0.27899267,-0.014531029,-0.10659617,STANDING
0.27573444,-0.01801884,-0.10677578,STANDING
0.14450396,0.18926326,0.062769317,SITTING
0.28725164,-0.037455064,-0.14597431,SITTING
0.2799976,-0.019484036,-0.10572355,SITTING
0.22184689,0.034107675,-0.12361242,SITTING
-0.041701306,0.17510248,0.025551778,SITTING
0.013903671,0.15329608,0.016242945,SITTING
0.30368927,-0.0042428053,-0.15085028,SITTING
0.29075969,-0.02403476,-0.11673889,SITTING
0.27090823,-0.014412968,-0.10652245,SITTING
0.2795534,-0.017001147,-0.11051668,SITTING
0.27635864,-0.016138088,-0.10803259,SITTING
0.23715407,0.0078251224,-0.12283791,SITTING
0.2731084,0.0065181116,-0.10947182,SITTING
0.28150539,-0.018434859,-0.11139287,SITTING
0.27843225,-0.019654302,-0.10797029,SITTING
0.2733796,-0.0099401064,-0.10839283,SITTING
0.27905615,-0.01626097,-0.11281565,SITTING
0.2785991,-0.019910142,-0.1111806,SITTING
0.27328142,-0.011127209,-0.10634926,SITTING
0.27853812,-0.016173432,-0.10970656,SITTING
0.27746121,-0.017491016,-0.10635945,SITTING
0.27394057,-0.013147584,-0.10543517,SITTING
0.27930326,-0.020521383,-0.11323643,SITTING
0.2790872,-0.019083242,-0.10588882,SITTING
0.40347433,-0.015074404,-0.11816739,LAYING
0.27837321,-0.020560964,-0.096824565,LAYING
0.27655526,-0.01786855,-0.10762126,LAYING
0.27957476,-0.017275722,-0.10948053,LAYING
0.27652699,-0.0168191,-0.10798311,LAYING
0.27812334,-0.017146303,-0.10801374,LAYING
0.27800654,-0.01780317,-0.10896485,LAYING
0.2802064,-0.01839626,-0.10748863,LAYING
0.28182774,-0.018626474,-0.10527824,LAYING
0.27672941,-0.017209548,-0.10563797,LAYING
0.27588359,-0.016150309,-0.10882921,LAYING
0.27783021,-0.017684054,-0.1057035,LAYING
0.27937115,-0.017644953,-0.10818111,LAYING
0.019016151,-0.0070373566,-0.028333356,LAYING
0.3402085,-0.036452984,-0.10625819,LAYING
-0.16642569,-0.11935251,0.13303497,LAYING
-0.23910256,-0.096904391,0.14803461,LAYING
0.34696848,0.069408647,-0.20082552,LAYING
0.30383319,0.1036482,-0.24533103,LAYING
-0.36120533,-0.26812111,0.17689637,LAYING
-0.27706634,-0.68409659,0.34665772,LAYING
0.2574765,-0.41386534,0.017374188,LAYING
0.27683965,-0.02714766,-0.1231748,LAYING
0.26865095,0.016430154,-0.10372571,LAYING
0.28526329,-0.008888811,-0.10374518,LAYING
0.28347732,-0.0075244582,-0.10928717,LAYING
0.27302712,-0.010196757,-0.11115339,LAYING
0.28202157,-0.037696218,-0.1348973,WALKING
0.25584075,-0.064550029,-0.095186339,WALKING
0.25486723,0.0038147234,-0.12365809,WALKING
0.34337048,-0.014446221,-0.16737697,WALKING
0.27623973,-0.029638413,-0.14261631,WALKING
0.25546822,0.021219063,-0.048949431,WALKING
0.32113983,0.0015817951,-0.043553705,WALKING
0.2346659,-0.049547719,-0.11175723,WALKING
0.31263404,-0.026367749,-0.13095121,WALKING
0.2769154,-0.03548621,-0.080569176,WALKING
0.20530739,-0.0085082782,-0.11964696,WALKING
0.30699599,-0.01378698,-0.18016197,WALKING
0.28151325,-0.040800898,-0.13467496,WALKING
0.30388542,0.0027680377,-0.038613087,WALKING
0.3541929,-0.012560935,-0.058680943,WALKING
0.22229785,-0.018659683,-0.11718642,WALKING
0.21448125,0.0099387454,-0.123073,WALKING
0.32731657,-0.022255821,-0.1491439,WALKING
0.3490591,-0.022003784,-0.15005217,WALKING
0.26468173,-0.0085919266,-0.10297373,WALKING
0.28431748,-0.027205815,-0.21230304,WALKING
0.22172674,-0.02437697,-0.075076407,WALKING
0.29097148,-0.027810418,-0.042982545,WALKING
0.26108077,-0.015635621,-0.10258842,WALKING
0.25242505,0.0062773455,-0.12518006,WALKING
0.35878664,-0.016954505,-0.15477656,WALKING
0.256935,-0.010577401,-0.10544192,WALKING
0.29855414,0.00079445569,-0.040695674,WALKING
0.30804575,-0.023300458,-0.07970154,WALKING
0.20356167,-0.03050523,-0.13709513,WALKING
0.28056095,-0.011424653,-0.15619795,WALKING
0.33216933,-0.034585828,-0.15926922,WALKING
0.28703017,-0.02723993,-0.11750002,WALKING
0.30159413,-0.044653002,-0.081513949,WALKING
0.24608919,-0.016175423,-0.11188336,WALKING
0.29272439,-0.0021398385,-0.14034852,WALKING
0.33156003,-0.0074950152,-0.13173868,WALKING
0.20201055,-0.0090379452,-0.079095855,WALKING
0.30363491,-0.014656769,-0.042613832,WALKING
0.35919361,-0.018079718,-0.07234686,WALKING
0.22442754,-0.031464353,-0.12726298,WALKING
0.23995826,-0.0097107196,-0.12197022,WALKING
0.28972747,0.01534272,-0.11667518,WALKING
0.30830537,-0.019882845,-0.16044667,WALKING
0.32746543,-0.03566696,-0.18182373,WALKING
0.23841102,-0.023196389,-0.11255181,WALKING
0.1801943,-0.017796846,-0.039347036,WALKING
0.35845532,0.017975385,-0.084159118,WALKING_DOWNSTAIRS
0.30171512,-0.0070493914,-0.093681451,WALKING_DOWNSTAIRS
0.28155172,-0.016110289,-0.14009252,WALKING_DOWNSTAIRS
0.27395574,-0.022899292,-0.12725614,WALKING_DOWNSTAIRS
0.29995717,0.014082123,-0.082310404,WALKING_DOWNSTAIRS
0.26537379,-0.017156211,-0.13877347,WALKING_DOWNSTAIRS
0.27763311,-0.03726758,-0.10002093,WALKING_DOWNSTAIRS
0.26688016,-0.0023073023,-0.063727153,WALKING_DOWNSTAIRS
0.21070047,-0.005968762,-0.1095915,WALKING_DOWNSTAIRS
0.28521305,-0.020202459,-0.011024206,WALKING_DOWNSTAIRS
0.4699458,-0.033624109,-0.1412542,WALKING_DOWNSTAIRS
0.23528441,-0.014570467,-0.20841776,WALKING_DOWNSTAIRS
0.1669136,-0.03373288,-0.13334869,WALKING_DOWNSTAIRS
0.44562097,-0.011902709,-0.15116909,WALKING_DOWNSTAIRS
0.23179921,-0.0075220252,-0.055801013,WALKING_DOWNSTAIRS
0.28134949,-0.0007098312,-0.0086999005,WALKING_DOWNSTAIRS
0.36248249,-0.0035526939,-0.18104462,WALKING_DOWNSTAIRS
0.43503687,-0.0065917495,-0.082909932,WALKING_DOWNSTAIRS
0.35119884,0.021866728,-0.1494262,WALKING_DOWNSTAIRS
0.13046118,-0.05499692,-0.13178649,WALKING_DOWNSTAIRS
0.31277629,-0.050409373,-0.043028643,WALKING_DOWNSTAIRS
0.42595606,0.02456,-0.15095947,WALKING_DOWNSTAIRS
0.26749864,-0.018319479,-0.16901282,WALKING_DOWNSTAIRS
0.15439416,0.0016045166,-0.010548619,WALKING_DOWNSTAIRS
